"Response_ID";"Timestamp";"Age";"Gender";"Occupation_Status";"Country_Region";"Monthly_Income_Range";"Shop_Most_Where";"Online_Shopping_Frequency";"Preferred_Platform";"Primary_Device";"Top_Spending_Category";"Review_Influence_Score";"Social_Ads_Influence_Score";"Price_Comparison_Frequency";"Discount_Importance_Score";"Follows_Brands_On_Social";"Likely_To_Buy_After_Ad_Score";"Makes_Shopping_List";"Impulse_Purchase_Frequency";"Return_Frequency";"Avg_Monthly_Spend_NonEssentials";"Preferred_Payment_Method";"Uses_BNPL_Installments";"Online_Shopping_Satisfaction_Score";"Trust_In_Online_Reviews_Score";"Regret_After_Purchase_Frequency";"Reason_Prefer_Online";"Reason_Prefer_InStore";"Best_Shopping_Mode"
2;"21/06/2026 13:52:02";24;"Male";"Employed part-time";"Brazil";"Under $1,000";"In-store only";"Often";"Local e-commerce";"Laptop";"Electronics";4;2;"5";2;"Yes";3;"Never";"4";"Often";"Under $50";"Digital wallet";"No, never";5;8;3;"Unknown";"Try product before buying";"Offline"
3;"15/08/2026 04:24:18";22;"Female";"Student";"India";"Under $1,000";"Equal mix";"Always";"Local e-commerce";"Smartphone";"Books";3;3;"5";3;"No";2;"Always";"3";"Sometimes";"$150-300";"Credit Card";"No, never";7;6;2;"Better prices";"Trust";"Online"
5;"20/08/2026 16:24:47";41;"Male";"Employed full-time";"United States";"$1,000-3,000";"Equal mix";"Occasionally";"Unknown";"Smartphone";"Electronics";2;1;"";3;"No";1;"Unknown";"2";"Sometimes";"$50-150";"Debit Card";"No, never";6;8;2;"Convenience";"Trust";"Equal / both"
6;"11/07/2026 00:16:12";32;"Male";"Employed full-time";"Egypt";"$1,000-3,000";"Equal mix";"Occasionally";"Physical stores";"Smartphone";"Clothing";4;3;"5";5;"Yes";1;"Often";"2";"Often";"$500+";"Digital wallet";"No, never";4;8;1;"Better prices";"No delivery wait";"Offline"
8;"19/07/2026 23:47:44";18;"Female";"Student";"India";"Under $1,000";"Equal mix";"Occasionally";"Global marketplace (Amazon etc.)";"Smartphone";"Unknown";3;4;"5";3;"No";1;"Never";"2";"Sometimes";"$50-150";"Credit Card";"Yes, occasionally";5;5;3;"Better prices";"No delivery wait";"Equal / both"
10;"30/07/2026 11:38:27";20;"Female";"Student";"Brazil";"Under $1,000";"Unknown";"Rarely";"Physical stores";"Smartphone";"Electronics";4;5;"5";4;"No";4;"Often";"4";"Sometimes";"$150-300";"Digital wallet";"Yes, regularly";7;8;2;"More variety";"No delivery wait";"Equal / both"
11;"07/07/2026 17:51:14";37;"Female";"Employed full-time";"Mexico";"Under $1,000";"Online only";"Often";"Brand websites";"Smartphone";"Beauty & personal care";1;1;"";5;"No";2;"Never";"1";"Sometimes";"Under $50";"Digital wallet";"Yes, occasionally";7;6;2;"More variety";"Try product before buying";"Online"
12;"20/08/2026 19:14:20";36;"Male";"Employed full-time";"United States";"$6,000+";"In-store only";"Occasionally";"Physical stores";"Tablet";"Beauty & personal care";4;3;"5";3;"No";4;"Sometimes";"2";"Sometimes";"$300-500";"Credit Card";"No, never";7;9;2;"Unknown";"Trust";"Offline"
13;"17/08/2026 21:17:14";18;"Female";"Employed part-time";"United Kingdom";"$1,000-3,000";"Equal mix";"Rarely";"Global marketplace (Amazon etc.)";"Laptop";"Clothing";4;4;"5";5;"No";4;"Often";"3";"Never";"$50-150";"Credit Card";"No, never";7;5;2;"More variety";"No delivery wait";"Online"
14;"14/07/2026 14:53:39";18;"Prefer not to say";"Employed part-time";"Indonesia";"Under $1,000";"In-store only";"Often";"Physical stores";"Laptop";"miscellaneous";5;4;"2";3;"No";5;"Always";"4";"Sometimes";"$50-150";"Digital wallet";"No, never";7;3;2;"Convenience";"Trust";"Offline"
20;"31/07/2026 12:23:10";41;"Female";"Employed full-time";"United Kingdom";"Under $1,000";"Unknown";"Often";"Brand websites";"Laptop";"Clothing";3;5;"4";5;"No";2;"Sometimes";"3";"Never";"$50-150";"Digital wallet";"No, never";6;5;3;"Better prices";"Try product before buying";"Offline"
21;"08/07/2026 09:42:18";34;"Male";"Employed part-time";"Mexico";"$1,000-3,000";"Online only";"Occasionally";"Brand websites";"Smartphone";"Clothing";5;4;"5";5;"No";3;"Sometimes";"4";"Never";"$150-300";"Credit Card";"No, never";10;3;3;"More variety";"Trust";"Online"
22;"22/07/2026 00:09:50";39;"Male";"Employed full-time";"India";"$1,000-3,000";"Equal mix";"Always";"Global marketplace (Amazon etc.)";"Smartphone";"miscellaneous";3;2;"5";4;"No";1;"Never";"1";"Sometimes";"$50-150";"Cash";"No, never";6;6;1;"More variety";"Not applicable";"Online"
23;"02/08/2026 15:57:34";21;"Female";"Student";"India";"Under $1,000";"Online only";"Occasionally";"Brand websites";"Unknown";"miscellaneous";4;2;"3";3;"No";3;"Sometimes";"2";"Never";"$50-150";"Digital wallet";"Yes, occasionally";7;6;3;"Not applicable";"Try product before buying";"Unknown"
31;"13/08/2026 09:16:29";21;"Prefer not to say";"Student";"Philippines";"Under $1,000";"Online only";"Rarely";"Unknown";"Smartphone";"Beauty & personal care";3;3;"5";4;"No";4;"Unknown";"1";"Never";"Under $50";"Digital wallet";"No, never";9;6;2;"Better prices";"Unknown";"Equal / both"
33;"26/06/2026 15:42:13";19;"Prefer not to say";"Student";"Brazil";"$3,000-6,000";"Equal mix";"Unknown";"Global marketplace (Amazon etc.)";"Laptop";"Electronics";4;4;"5";4;"No";3;"Never";"3";"Sometimes";"$150-300";"Debit Card";"Yes, regularly";6;10;2;"More variety";"Try product before buying";"Equal / both"
